1	18,56,56,56,56,47,21,64,33,32,32,25,24,64,3,0,0,0,24,64,2,0,0,0,24,64,51,54,39,5,17,62,45,29,58,49,0,3,0,0,20,56,0,0,0,0,9,56,18,33,0,0,13,56,27,62,10,0,37,56,3,49,62,58,63,27,0,1,20,24,11,0,0
2	0,20,38,36,16,0,24,64,47,45,64,22,51,49,0,0,43,51,56,40,0,0,40,56,57,40,0,0,40,56,56,39,0,0,40,55,56,32,0,0,40,51,59,32,0,0,40,49,64,32,0,0,46,48,50,46,1,4,58,42,15,61,55,58,61,13,0,8,28,27,9,0,0
3	34,22,32,33,8,0,20,64,54,53,61,12,53,50,0,1,50,41,56,33,0,0,44,48,63,33,0,0,45,50,64,32,0,0,48,52,64,30,0,0,47,45,64,24,0,0,48,40,64,24,0,0,48,40,57,37,0,6,60,37,24,64,50,57,60,8,0,18,32,30,8,0,0
4	0,4,27,34,19,0,4,54,53,41,61,31,26,56,3,0,22,56,32,51,0,0,8,56,32,56,0,0,8,56,26,56,0,0,8,56,24,56,0,0,8,56,24,56,0,0,8,56,24,55,0,0,8,56,8,63,21,7,38,52,0,20,57,64,36,7,0,0,0,0,0,0,0
5	0,6,29,31,12,0,8,58,52,45,63,19,35,49,0,0,35,49,40,40,0,0,24,56,40,39,0,0,24,56,40,40,0,0,24,56,40,40,0,0,24,56,40,40,0,0,24,56,40,40,0,0,24,56,26,56,8,2,45,45,0,39,63,63,55,9,0,0,11,13,1,0,0
6	29,47,41,44,46,17,40,52,32,32,32,11,40,40,0,0,0,0,40,40,0,0,0,0,40,56,52,49,21,0,32,56,28,34,63,13,0,0,0,0,45,31,0,0,0,0,40,34,33,17,0,0,42,32,46,47,5,12,60,18,10,56,64,64,34,0,0,0,13,6,0,0,0
7	0,0,0,15,33,1,0,0,9,59,39,0,0,1,50,51,1,0,0,20,63,11,0,0,0,48,41,0,0,0,5,64,50,48,29,1,20,64,49,35,61,35,30,57,1,0,24,56,32,48,0,0,14,56,27,58,3,0,29,55,4,57,54,44,63,30,0,7,31,32,20,0,0
8	0,40,44,14,32,1,0,0,8,60,43,1,0,0,48,51,3,0,0,20,63,11,0,0,0,49,40,0,0,0,7,64,55,47,25,0,22,64,47,36,62,32,32,54,1,0,27,56,40,41,0,0,17,56,30,57,4,0,31,55,4,54,60,53,64,20,0,2,27,32,16,0,0
9	0,0,0,42,48,0,0,0,28,63,21,0,0,10,62,32,0,0,0,44,55,1,0,0,5,63,24,0,0,0,22,64,64,63,44,3,36,62,24,20,58,37,43,43,0,0,30,56,45,41,0,0,26,56,29,61,17,11,55,45,2,46,64,64,52,8,0,0,10,13,1,0,0
10	0,0,0,3,9,0,0,0,2,49,60,6,0,0,39,63,15,0,0,17,64,28,0,0,0,50,52,1,0,0,9,64,45,26,10,0,25,64,61,55,63,25,37,60,6,0,35,56,40,48,0,0,12,56,34,58,1,0,21,56,8,61,48,34,58,50,0,8,32,32,31,4,4
11	0,25,57,61,35,1,20,64,39,36,63,33,43,46,0,0,35,56,48,40,0,0,25,56,48,40,0,0,24,56,44,40,0,0,24,56,40,40,0,0,24,56,41,40,0,0,24,56,47,44,0,0,24,56,37,54,1,0,31,56,12,63,50,42,63,38,0,16,32,32,29,1,1
12	18,40,40,54,14,0,32,60,40,42,60,35,35,40,0,0,24,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,22,55,40,58,48,49,63,30,21,32,32,32,19,0,0
13	0,12,37,38,16,0,6,63,56,54,64,19,27,57,3,0,46,45,32,48,0,0,33,48,25,61,7,6,53,37,2,58,64,63,63,7,23,63,29,23,59,28,41,45,0,0,32,50,42,35,0,0,27,55,35,50,1,1,46,43,9,61,54,54,63,15,0,8,31,32,11,0,0
14	0,9,30,31,11,0,12,63,56,52,63,17,37,50,1,0,43,49,48,32,0,0,25,56,48,32,0,0,27,56,48,32,0,0,32,56,48,32,0,0,32,56,48,32,0,0,32,52,48,32,0,0,32,48,43,43,0,2,48,43,13,61,54,55,61,13,0,11,31,31,9,0,0
15	0,22,39,35,8,0,21,64,58,61,58,6,45,46,1,6,59,29,55,32,0,0,48,38,44,50,2,15,60,25,12,63,64,64,53,1,42,58,28,36,64,19,61,29,0,0,52,39,64,19,0,0,45,40,58,35,0,9,58,32,30,64,51,59,58,6,0,22,32,31,8,0,0
16	22,32,32,33,12,0,40,56,40,47,63,17,40,32,0,0,37,51,40,32,0,0,19,56,40,33,0,1,43,45,40,62,50,59,64,13,40,48,21,24,50,43,40,40,0,0,18,56,40,40,0,0,16,56,40,40,0,0,18,56,40,52,24,25,55,43,20,32,32,32,31,3,3
17	0,11,36,38,15,0,10,61,49,47,63,17,33,49,0,0,47,42,39,42,0,0,34,45,25,58,4,1,51,30,1,54,60,57,61,3,15,63,26,21,58,27,35,41,0,0,30,53,40,34,0,0,24,56,34,48,0,0,34,51,10,61,45,37,63,22,0,12,32,32,22,0,0
18	24,41,56,41,18,0,40,56,37,43,64,19,40,36,0,0,35,51,40,37,0,0,24,56,40,41,0,5,50,45,40,64,62,64,64,15,40,49,16,19,51,44,40,40,0,0,19,56,40,40,0,0,18,56,39,40,0,0,26,56,40,55,32,35,60,40,20,32,32,32,31,3,3
19	0,16,43,43,18,0,15,63,43,43,64,21,42,41,0,0,39,53,13,15,0,0,34,56,0,0,0,4,59,32,0,0,0,40,56,3,0,0,16,64,19,0,0,2,54,42,0,0,0,31,60,7,0,0,12,63,26,0,0,0,43,64,38,38,40,34,24,32,32,32,32,28,28
20	0,18,46,47,24,0,12,63,42,39,64,17,36,50,0,0,43,42,40,44,0,0,36,55,26,60,7,4,55,32,1,59,64,62,62,4,24,63,25,20,59,30,42,43,0,0,34,55,48,35,0,0,27,56,40,48,0,0,44,51,15,63,48,47,64,21,0,16,32,32,22,0,0
21	0,2,24,32,15,0,2,49,60,51,64,32,26,61,6,0,29,56,13,28,0,0,17,56,0,0,0,0,43,52,0,0,0,23,64,18,0,0,5,57,40,0,0,0,45,56,3,0,0,23,64,17,0,0,4,59,36,0,0,0,36,64,38,32,32,31,20,32,32,32,32,28,28
22	24,40,40,46,41,17,40,59,48,49,63,31,40,40,0,0,32,56,46,40,0,0,24,56,48,40,0,0,24,56,48,41,0,0,24,56,48,40,0,0,24,56,48,40,0,0,24,56,48,40,0,0,24,56,48,40,0,1,41,54,48,64,64,64,64,23,21,32,32,31,15,0,0
23	19,40,40,44,44,12,32,58,40,40,59,40,32,48,0,0,19,56,32,48,0,0,16,56,32,48,0,0,16,56,32,48,0,0,16,56,32,48,0,0,16,56,32,48,0,0,16,56,32,42,0,0,16,56,34,40,0,0,23,56,40,61,48,49,62,33,17,32,32,32,18,0,0
24	0,0,0,18,14,0,0,0,20,63,43,0,0,9,61,43,1,0,0,44,53,2,0,0,6,63,42,30,12,0,24,64,61,58,64,26,35,58,6,0,38,55,40,48,0,0,16,56,40,48,0,0,16,56,33,57,3,0,27,56,7,58,56,44,63,32,0,8,31,32,23,0,0
25	0,0,4,30,1,0,0,4,54,62,14,0,0,43,61,15,0,0,12,64,27,0,0,0,38,64,41,35,9,0,52,64,45,53,61,11,64,33,0,1,53,37,64,24,0,0,40,40,64,26,0,0,42,40,51,51,12,18,60,29,10,57,64,64,46,2,0,1,14,9,0,0,0
26	0,0,0,11,0,0,0,0,28,64,26,0,0,20,64,37,1,0,2,58,45,0,0,0,24,64,30,21,3,0,42,64,61,62,59,10,53,49,2,4,53,44,56,32,0,0,32,56,56,32,0,0,32,56,49,49,2,2,49,46,14,61,60,59,60,13,0,7,29,25,6,0,0
